roomid,groupid,tag,collectpoint
聊白洼机房,A变压器到外租电和油机室,到外租电流A,A1
聊白洼机房,A变压器到外租电和油机室,到外租电流B,A1
聊白洼机房,A变压器到外租电和油机室,到外租电流C,A1
聊白洼机房,A变压器到外租电和油机室,到油机室电流A,A2
聊白洼机房,A变压器到外租电和油机室,到油机室电流B,A2
聊白洼机房,A变压器到外租电和油机室,到油机室电流C,A2
聊白洼机房,B油机室到5G机房和普通机房,到5G机房电流A,B1
聊白洼机房,B油机室到5G机房和普通机房,到5G机房电流B,B1
聊白洼机房,B油机室到5G机房和普通机房,到5G机房电流C,B1
聊白洼机房,B油机室到5G机房和普通机房,到普通机房电流A,B2
聊白洼机房,B油机室到5G机房和普通机房,到普通机房电流B,B2
聊白洼机房,B油机室到5G机房和普通机房,到普通机房电流C,B2
聊白洼机房,C普通机房开关电源,开关电源电流A,C1
聊白洼机房,C普通机房开关电源,开关电源电流B,C1
聊白洼机房,C普通机房开关电源,开关电源电流C,C1
聊白洼机房,D5G机房开关电源,开关电源电流A,D1
聊白洼机房,D5G机房开关电源,开关电源电流B,D1
聊白洼机房,D5G机房开关电源,开关电源电流C,D1
