"roomid","groupid","tag","collectpoint"
"东陈集机房","A油机室总电流","入油机室总电流A相","A"
"东陈集机房","A油机室总电流","入油机室总电流B相","A"
"东陈集机房","A油机室总电流","入油机室总电流C相","A"
"东陈集机房","B生产","入机房配电箱A相","B"
"东陈集机房","B生产","入机房配电箱B相","B"
"东陈集机房","B生产","入机房配电箱C相","B"
"东陈集机房","F机房内设备","到开关电源A相","F"
"东陈集机房","F机房内设备","到开关电源B相","F"
"东陈集机房","F机房内设备","到开关电源C相","F"
"东陈集机房","G机房外设备","到院内5G交转直","G"
"临大辛庄机房","A油机室总电流","入油机室总电流A相","A"
"临大辛庄机房","A油机室总电流","入油机室总电流B相","A"
"临大辛庄机房","A油机室总电流","入油机室总电流C相","A"
"临大辛庄机房","B生产","入机房配电箱A相","B"
"临大辛庄机房","B生产","入机房配电箱B相","B"
"临大辛庄机房","B生产","入机房配电箱C相","B"
"临大辛庄机房","D营业","到营业空调A相","D"
"临大辛庄机房","D营业","到营业空调B相","D"
"临大辛庄机房","D营业","到营业空调C相","D"
"临大辛庄机房","F机房内设备","到开关电源A相","F"
"临大辛庄机房","F机房内设备","到开关电源B相","F"
"临大辛庄机房","F机房内设备","到开关电源C相","F"
"冠5847定寨机房","A油机室总电流","入油机室总电流A相","A"
"冠5847定寨机房","A油机室总电流","入油机室总电流B相","A"
"冠5847定寨机房","A油机室总电流","入油机室总电流C相","A"
"冠5847定寨机房","B生产","入机房配电箱A相","B"
"冠5847定寨机房","B生产","入机房配电箱B相","B"
"冠5847定寨机房","B生产","入机房配电箱C相","B"
"冠5847定寨机房","C办公","入办公配电箱A相","C"
"冠5847定寨机房","C办公","入办公配电箱B相","C"
"冠5847定寨机房","C办公","入办公配电箱C相","C"
"冠5847定寨机房","F机房内设备","到开关电源A相","F"
"冠5847定寨机房","F机房内设备","到开关电源B相","F"
"冠5847定寨机房","F机房内设备","到开关电源C相","F"
"冠5847定寨机房","G机房外设备","到院内5G交转直","G"
"聊八甲刘","A油机室总电流","入油机室总电流A相","A"
"聊八甲刘","A油机室总电流","入油机室总电流B相","A"
"聊八甲刘","A油机室总电流","入油机室总电流C相","A"
"聊八甲刘","B生产","入机房配电箱A相","B"
"聊八甲刘","B生产","入机房配电箱B相","B"
"聊八甲刘","B生产","入机房配电箱C相","B"
"聊八甲刘","F机房内设备","到开关电源A相","F"
"聊八甲刘","F机房内设备","到开关电源B相","F"
"聊八甲刘","F机房内设备","到开关电源C相","F"
"聊广平支局","A油机室总电流","入油机室总电流A相","A"
"聊广平支局","A油机室总电流","入油机室总电流B相","A"
"聊广平支局","A油机室总电流","入油机室总电流C相","A"
"聊广平支局","B生产","入机房配电箱A相","B"
"聊广平支局","B生产","入机房配电箱B相","B"
"聊广平支局","B生产","入机房配电箱C相","B"
"聊广平支局","F机房内设备","到开关电源A相","F"
"聊广平支局","F机房内设备","到开关电源B相","F"
"聊广平支局","F机房内设备","到开关电源C相","F"
"聊张炉集机房","F机房内设备","到开关电源A相","F"
"聊张炉集机房","F机房内设备","到开关电源B相","F"
"聊张炉集机房","F机房内设备","到开关电源C相","F"
"聊张炉集机房","H机房内空调","到机房空调A相 ","H"
"聊张炉集机房","H机房内空调","到机房空调B相","H"
"聊张炉集机房","H机房内空调","到机房空调C相","H"
"聊张炉集机房","Z机房总电流","入机房配电箱A相","Z"
"聊张炉集机房","Z机房总电流","入机房配电箱B相","Z"
"聊张炉集机房","Z机房总电流","入机房配电箱C相","Z"
"聊白洼机房","A变压器到外租电和油机室","到外租电流A","A1"
"聊白洼机房","A变压器到外租电和油机室","到外租电流B","A1"
"聊白洼机房","A变压器到外租电和油机室","到外租电流C","A1"
"聊白洼机房","A变压器到外租电和油机室","到油机室电流A","A2"
"聊白洼机房","A变压器到外租电和油机室","到油机室电流B","A2"
"聊白洼机房","A变压器到外租电和油机室","到油机室电流C","A2"
"聊白洼机房","B油机室到5G机房和普通机房","到5G机房电流A","B1"
"聊白洼机房","B油机室到5G机房和普通机房","到5G机房电流B","B1"
"聊白洼机房","B油机室到5G机房和普通机房","到5G机房电流C","B1"
"聊白洼机房","B油机室到5G机房和普通机房","到普通机房电流A","B2"
"聊白洼机房","B油机室到5G机房和普通机房","到普通机房电流B","B2"
"聊白洼机房","B油机室到5G机房和普通机房","到普通机房电流C","B2"
"聊白洼机房","C普通机房开关电源","开关电源电流A","C1"
"聊白洼机房","C普通机房开关电源","开关电源电流B","C1"
"聊白洼机房","C普通机房开关电源","开关电源电流C","C1"
"聊白洼机房","D5G机房开关电源","开关电源电流A","D1"
"聊白洼机房","D5G机房开关电源","开关电源电流B","D1"
"聊白洼机房","D5G机房开关电源","开关电源电流C","D1"
"茌484洪屯机房","A油机室总电流","入油机室总电流A相","A"
"茌484洪屯机房","A油机室总电流","入油机室总电流B相","A"
"茌484洪屯机房","A油机室总电流","入油机室总电流C相","A"
"茌484洪屯机房","B生产","入机房配电箱A相","B"
"茌484洪屯机房","B生产","入机房配电箱B相","B"
"茌484洪屯机房","B生产","入机房配电箱C相","B"
"茌484洪屯机房","D营业","到营业配电箱A相","D"
"茌484洪屯机房","D营业","到营业配电箱B相","D"
"茌484洪屯机房","D营业","到营业配电箱C相","D"
"茌484洪屯机房","F机房内设备","到开关电源A相","F"
"茌484洪屯机房","F机房内设备","到开关电源B相","F"
"茌484洪屯机房","F机房内设备","到开关电源C相","F"
"莘769张鲁支局新2层综合1","F机房内设备","到开关电源A相","F"
"莘769张鲁支局新2层综合1","F机房内设备","到开关电源B相","F"
"莘769张鲁支局新2层综合1","F机房内设备","到开关电源C相","F"
"莘769张鲁支局新2层综合1","G机房外设备","到院内5G交转直","G"
"莘769张鲁支局新2层综合1","H机房内空调","到机房空调A相","H"
"莘769张鲁支局新2层综合1","H机房内空调","到机房空调B相","H"
"莘769张鲁支局新2层综合1","H机房内空调","到机房空调C相","H"
"莘769张鲁支局新2层综合1","Z机房总电流","入机房配电箱A相","Z"
"莘769张鲁支局新2层综合1","Z机房总电流","入机房配电箱B相","Z"
"莘769张鲁支局新2层综合1","Z机房总电流","入机房配电箱C相","Z"
"阳闫楼机房","A油机室总电流","入油机室总电流A相","A"
"阳闫楼机房","A油机室总电流","入油机室总电流B相","A"
"阳闫楼机房","A油机室总电流","入油机室总电流C相","A"
"阳闫楼机房","B生产","入机房配电箱A相","B"
"阳闫楼机房","B生产","入机房配电箱B相","B"
"阳闫楼机房","B生产","入机房配电箱C相","B"
"阳闫楼机房","F机房内设备","到开关电源A相","F"
"阳闫楼机房","F机房内设备","到开关电源B相","F"
"阳闫楼机房","F机房内设备","到开关电源C相","F"
"高固河机房","A油机室总电流","入油机室总电流A相","A"
"高固河机房","A油机室总电流","入油机室总电流B相","A"
"高固河机房","A油机室总电流","入油机室总电流C相","A"
"高固河机房","B生产","入机房配电箱A相","B"
"高固河机房","B生产","入机房配电箱B相","B"
"高固河机房","B生产","入机房配电箱C相","B"
"高固河机房","F机房内设备","到开关电源A相","F"
"高固河机房","F机房内设备","到开关电源B相","F"
"高固河机房","F机房内设备","到开关电源C相","F"
"高固河机房","G机房外设备","到院内5G交转直","G"
