"roomid","timestr","dtype","category","tag","current"
"东陈集机房","2024-07-19","DAY","VECTOR","BUSINESS","3.24154"
"东陈集机房","2024-07-19","DAY","VECTOR","DEVICE","23.4222"
"东陈集机房","2024-07-19","DAY","VECTOR","LEASE","0"
"东陈集机房","2024-07-19","DAY","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19","DAY","VECTOR","PRODUCT","35.862"
"东陈集机房","2024-07-19","DAY","VECTOR","PUE","1.53111"
"东陈集机房","2024-07-19","DAY","VECTOR","TOTAL","39.1036"
"东陈集机房","2024-07-19-13","HOUR","POINT","A","38.7397"
"东陈集机房","2024-07-19-13","HOUR","POINT","B","35.6539"
"东陈集机房","2024-07-19-13","HOUR","POINT","F","22.7964"
"东陈集机房","2024-07-19-13","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","BUSINESS","3.08573"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","DEVICE","22.7964"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","PRODUCT","35.6539"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","PUE","1.56402"
"东陈集机房","2024-07-19-13","HOUR","VECTOR","TOTAL","38.7397"
"东陈集机房","2024-07-19-14","HOUR","POINT","A","44.9661"
"东陈集机房","2024-07-19-14","HOUR","POINT","B","36.4258"
"东陈集机房","2024-07-19-14","HOUR","POINT","F","22.7037"
"东陈集机房","2024-07-19-14","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","BUSINESS","8.54034"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","DEVICE","22.7037"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","PRODUCT","36.4258"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","PUE","1.6044"
"东陈集机房","2024-07-19-14","HOUR","VECTOR","TOTAL","44.9661"
"东陈集机房","2024-07-19-15","HOUR","POINT","A","48.8434"
"东陈集机房","2024-07-19-15","HOUR","POINT","B","37.1658"
"东陈集机房","2024-07-19-15","HOUR","POINT","F","23.2532"
"东陈集机房","2024-07-19-15","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","BUSINESS","11.6776"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","DEVICE","23.2532"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","PRODUCT","37.1658"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","PUE","1.59831"
"东陈集机房","2024-07-19-15","HOUR","VECTOR","TOTAL","48.8434"
"东陈集机房","2024-07-19-16","HOUR","POINT","A","45.2464"
"东陈集机房","2024-07-19-16","HOUR","POINT","B","39.8817"
"东陈集机房","2024-07-19-16","HOUR","POINT","F","23.6549"
"东陈集机房","2024-07-19-16","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","BUSINESS","5.36475"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","DEVICE","23.6549"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","PRODUCT","39.8817"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","PUE","1.68598"
"东陈集机房","2024-07-19-16","HOUR","VECTOR","TOTAL","45.2464"
"东陈集机房","2024-07-19-17","HOUR","POINT","A","38.4553"
"东陈集机房","2024-07-19-17","HOUR","POINT","B","37.3183"
"东陈集机房","2024-07-19-17","HOUR","POINT","F","23.8997"
"东陈集机房","2024-07-19-17","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","BUSINESS","1.13695"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","DEVICE","23.8997"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","PRODUCT","37.3183"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","PUE","1.56146"
"东陈集机房","2024-07-19-17","HOUR","VECTOR","TOTAL","38.4553"
"东陈集机房","2024-07-19-18","HOUR","POINT","A","39.2553"
"东陈集机房","2024-07-19-18","HOUR","POINT","B","38.1424"
"东陈集机房","2024-07-19-18","HOUR","POINT","F","24.5488"
"东陈集机房","2024-07-19-18","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","BUSINESS","1.11288"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","DEVICE","24.5488"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","PRODUCT","38.1424"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","PUE","1.55374"
"东陈集机房","2024-07-19-18","HOUR","VECTOR","TOTAL","39.2553"
"东陈集机房","2024-07-19-19","HOUR","POINT","A","36.9159"
"东陈集机房","2024-07-19-19","HOUR","POINT","B","35.902"
"东陈集机房","2024-07-19-19","HOUR","POINT","F","23.7336"
"东陈集机房","2024-07-19-19","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","BUSINESS","1.0139"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","DEVICE","23.7336"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","PRODUCT","35.902"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","PUE","1.51271"
"东陈集机房","2024-07-19-19","HOUR","VECTOR","TOTAL","36.9159"
"东陈集机房","2024-07-19-20","HOUR","POINT","A","35.3139"
"东陈集机房","2024-07-19-20","HOUR","POINT","B","34.3814"
"东陈集机房","2024-07-19-20","HOUR","POINT","F","23.6797"
"东陈集机房","2024-07-19-20","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","BUSINESS","0.932542"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","DEVICE","23.6797"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","PRODUCT","34.3814"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","PUE","1.45194"
"东陈集机房","2024-07-19-20","HOUR","VECTOR","TOTAL","35.3139"
"东陈集机房","2024-07-19-21","HOUR","POINT","A","34.1268"
"东陈集机房","2024-07-19-21","HOUR","POINT","B","33.2088"
"东陈集机房","2024-07-19-21","HOUR","POINT","F","23.2163"
"东陈集机房","2024-07-19-21","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","BUSINESS","0.917966"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","DEVICE","23.2163"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","PRODUCT","33.2088"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","PUE","1.43041"
"东陈集机房","2024-07-19-21","HOUR","VECTOR","TOTAL","34.1268"
"东陈集机房","2024-07-19-22","HOUR","POINT","A","33.8532"
"东陈集机房","2024-07-19-22","HOUR","POINT","B","32.9156"
